time_ns,source,destination,route,rtt_ns,hop_count,failed_isls,status
10300000000,12,13,12-1-0-3-13,29146402.2075404413,4,,NORMAL
10400000000,12,13,12-1-0-3-13,29143904.5643795803,4,,NORMAL
10500000000,12,13,12-1-0-3-13,29141401.4600250982,4,,NORMAL
10600000000,12,13,12-1-0-3-13,29138904.5986252651,4,,NORMAL
10700000000,12,13,12-1-0-3-13,29136412.9838173389,4,,NORMAL
10800000000,12,13,12-1-0-3-13,29133926.0691121034,4,,NORMAL
10900000000,12,13,12-1-0-3-13,29131438.2984775230,4,,NORMAL
11000000000,12,13,12-1-0-3-13,29128956.5155986287,4,,NORMAL
11100000000,12,13,12-1-0-3-13,29126483.9820431322,4,,NORMAL
11200000000,12,13,12-1-0-3-13,29124007.8849186972,4,,NORMAL
11300000000,12,13,12-1-0-3-13,29121539.8420769386,4,,NORMAL
11400000000,12,13,12-1-0-3-13,29119070.3468485512,4,,NORMAL
11500000000,12,13,12-1-0-3-13,29116604.8085513264,4,,NORMAL
11600000000,12,13,12-1-0-3-13,29114148.0385201424,4,,NORMAL
11700000000,12,13,12-1-0-3-13,29111689.2330195829,4,,NORMAL
11800000000,12,13,12-1-0-3-13,29109239.4620916285,4,,NORMAL
11900000000,12,13,12-1-0-3-13,29106788.3412394449,4,,NORMAL
12000000000,12,13,12-1-0-3-13,29104346.9023223892,4,,NORMAL
12100000000,12,13,12-1-0-3-13,29101908.2571044788,4,,NORMAL
12200000000,12,13,12-1-0-3-13,29099465.6958660074,4,,NORMAL
12300000000,12,13,12-1-0-3-13,29097034.0479617752,4,,NORMAL
12400000000,12,13,12-1-0-3-13,29094604.6443464831,4,,NORMAL
12500000000,12,13,12-1-0-3-13,29092170.4537480399,4,,NORMAL
12600000000,12,13,12-1-0-3-13,29089751.2452749275,4,,NORMAL
12700000000,12,13,12-1-0-3-13,29087332.5490187518,4,,NORMAL
12800000000,12,13,12-1-0-3-13,29084908.6105626374,4,,NORMAL
12900000000,12,13,12-1-0-3-13,29082497.3557046764,4,,NORMAL
13000000000,12,13,12-1-0-3-13,29080089.3668341562,4,,NORMAL
13100000000,12,13,12-1-0-3-13,29077688.2816288657,4,,NORMAL
13200000000,12,13,12-1-0-3-13,29075281.8247315921,4,,NORMAL
13300000000,12,13,12-1-0-3-13,29072887.7386080623,4,,NORMAL
13400000000,12,13,12-1-0-3-13,29070488.7631127648,4,,NORMAL
13500000000,12,13,12-1-0-3-13,29068094.8957899474,4,,NORMAL
13600000000,12,13,12-1-0-3-13,29065710.4711666070,4,,NORMAL
13700000000,12,13,12-1-0-3-13,29063323.9372799583,4,,NORMAL
13800000000,12,13,12-1-0-3-13,29060945.6779138930,4,,NORMAL
13900000000,12,13,12-1-0-3-13,29058568.3750741854,4,,NORMAL
14000000000,12,13,12-1-0-3-13,29056196.1341546364,4,,NORMAL
14100000000,12,13,12-1-0-3-13,29053825.8308668174,4,,NORMAL
14200000000,12,13,12-1-0-3-13,29051462.3213707022,4,,NORMAL
14300000000,12,13,12-1-0-3-13,29049102.1867316589,4,,NORMAL
14400000000,12,13,12-1-0-3-13,29046741.6100213751,4,,NORMAL
14500000000,12,13,12-1-0-3-13,29044385.2393214144,4,,NORMAL
14600000000,12,13,12-1-0-3-13,29042036.6294723451,4,,NORMAL
14700000000,12,13,12-1-0-3-13,29039684.4646400362,4,,NORMAL
14800000000,12,13,12-1-0-3-13,29037345.1613053791,4,,NORMAL
14900000000,12,13,12-1-0-3-13,29035002.6306555234,4,,NORMAL
15000000000,12,13,12-1-0-3-13,29032665.1751988269,4,,NORMAL
15100000000,12,13,12-1-0-3-13,29030332.9985343516,4,,NORMAL
15200000000,12,13,12-1-0-3-13,29028003.8542330824,4,,NORMAL
15300000000,12,13,12-1-0-3-13,29025677.1346735358,4,,NORMAL
15400000000,12,13,12-1-0-3-13,29023357.6248483919,4,,NORMAL
15500000000,12,13,12-1-0-3-13,29021037.0840882249,4,,NORMAL
15600000000,12,13,12-1-0-3-13,29018721.9061577246,4,,NORMAL
