time_ns,source,compute_node,route,rtt_ns,hop_count,failed_isls,status
16100000000,12,0,12-1-0,15317878.4050456006,2,,AVAILABLE
16200000000,12,0,12-1-0,15314299.1526819598,2,,AVAILABLE
16300000000,12,0,12-1-0,15310720.4767338280,2,,AVAILABLE
16400000000,12,0,12-1-0,15307145.7642824762,2,,AVAILABLE
16500000000,12,0,12-1-0,15303570.1662625410,2,,AVAILABLE
16600000000,12,0,12-1-0,15299995.1086661499,2,,AVAILABLE
16700000000,12,0,12-1-0,15296427.6613666713,2,,AVAILABLE
16800000000,12,0,12-1-0,15292852.5518398695,2,,AVAILABLE
16900000000,12,0,12-1-0,15289281.1459506564,2,,AVAILABLE
17000000000,12,0,12-1-0,15285717.3504660539,2,,AVAILABLE
17100000000,12,0,12-1-0,15282145.2173899058,2,,AVAILABLE
17200000000,12,0,12-1-0,15278581.3382542692,2,,AVAILABLE
17300000000,12,0,12-1-0,15275018.0336559527,2,,AVAILABLE
17400000000,12,0,12-1-0,15271452.2967598028,2,,AVAILABLE
17500000000,12,0,12-1-0,15267891.3906149361,2,,AVAILABLE
17600000000,12,0,12-1-0,15264332.1550642252,2,,AVAILABLE
17700000000,12,0,12-1-0,15260770.4863985833,2,,AVAILABLE
17800000000,12,0,12-1-0,15257210.0717957988,2,,AVAILABLE
17900000000,12,0,12-1-0,15253654.0733151957,2,,AVAILABLE
18000000000,12,0,12-1-0,15250099.2529640216,2,,AVAILABLE
18100000000,12,0,12-1-0,15246542.9074576460,2,,AVAILABLE
18200000000,12,0,12-1-0,15242993.7182550095,2,,AVAILABLE
18300000000,12,0,12-1-0,15239439.3904434089,2,,AVAILABLE
18400000000,12,0,12-1-0,15235886.6969991159,2,,AVAILABLE
18500000000,12,0,12-1-0,15232338.4179711528,2,,AVAILABLE
18600000000,12,0,12-1-0,15228790.9021778721,2,,AVAILABLE
18700000000,12,0,12-1-0,15225241.8607170973,2,,AVAILABLE
18800000000,12,0,12-1-0,15221696.5528674703,2,,AVAILABLE
18900000000,12,0,12-1-0,15218153.1430251729,2,,AVAILABLE
19000000000,12,0,12-1-0,15214607.7534635905,2,,AVAILABLE
19100000000,12,0,12-1-0,15211070.3522433378,2,,AVAILABLE
19200000000,12,0,12-1-0,15207529.9125027712,2,,AVAILABLE
19300000000,12,0,12-1-0,15203991.3717291951,2,,AVAILABLE
19400000000,12,0,12-1-0,15200451.2698595766,2,,AVAILABLE
19500000000,12,0,12-1-0,15196914.8981620781,2,,AVAILABLE
19600000000,12,0,12-1-0,15193380.4261514377,2,,AVAILABLE
19700000000,12,0,12-1-0,15189847.1714845244,2,,AVAILABLE
19800000000,12,0,12-1-0,15186314.4508165941,2,,AVAILABLE
19900000000,12,0,12-1-0,15182783.6305580903,2,,AVAILABLE
20000000000,12,0,12-1-0,15179253.7607397623,2,,AVAILABLE
20100000000,12,0,12-1-0,15175719.4415605515,2,,AVAILABLE
20200000000,12,0,12-1-0,15172195.2031894550,2,,AVAILABLE
20300000000,12,0,12-1-0,15168669.6688212622,2,,AVAILABLE
20400000000,12,0,12-1-0,15165147.8643410038,2,,AVAILABLE
20500000000,12,0,12-1-0,15161621.5668406077,2,,AVAILABLE
20600000000,12,0,12-1-0,15158099.4595805835,2,,AVAILABLE
20700000000,12,0,12-1-0,15154578.5254082307,2,,AVAILABLE
20800000000,12,0,12-1-0,15151059.4956040364,2,,AVAILABLE
20900000000,12,0,12-1-0,15147541.0398114957,2,,AVAILABLE
21000000000,12,0,12-1-0,15144026.9539171755,2,,AVAILABLE
21100000000,12,0,12-1-0,15140511.3041545097,2,,AVAILABLE
21200000000,12,0,12-1-0,15136997.6032984722,2,,AVAILABLE
21300000000,12,0,12-1-0,15133484.3874411508,2,,AVAILABLE
21400000000,12,0,12-1-0,15129972.4341436401,2,,AVAILABLE
21500000000,12,0,12-1-0,15126462.0688685700,2,,AVAILABLE
21600000000,12,0,12-1-0,15122952.9684191626,2,,AVAILABLE
21700000000,12,0,12-1-0,15119448.2344591971,2,,AVAILABLE
21800000000,12,0,12-1-0,15115939.0568611175,2,,AVAILABLE
21900000000,12,0,12-1-0,15112437.1737021040,2,,AVAILABLE
22000000000,12,0,12-1-0,15108933.3567653969,2,,AVAILABLE
22100000000,12,0,12-1-0,15105430.7569503300,2,,AVAILABLE
22200000000,12,0,12-1-0,15101932.9412223902,2,,AVAILABLE
22300000000,12,0,12-1-0,15098432.7772018109,2,,AVAILABLE
22400000000,12,0,12-1-0,15094934.2454305571,2,,AVAILABLE
22500000000,12,0,12-1-0,15091437.3477006648,2,,AVAILABLE
22600000000,12,0,12-1-0,15087943.7089173906,2,,AVAILABLE
22700000000,12,0,12-1-0,15084452.4428060669,2,,AVAILABLE
22800000000,12,0,12-1-0,15080959.1958307177,2,,AVAILABLE
22900000000,12,0,12-1-0,15077467.5828615744,2,,AVAILABLE
23000000000,12,0,12-1-0,15073977.1887376364,2,,AVAILABLE
23100000000,12,0,12-1-0,15070488.0098442603,2,,AVAILABLE
23200000000,12,0,12-1-0,15067002.9711821172,2,,AVAILABLE
23300000000,12,0,12-1-0,15063516.6430560369,2,,AVAILABLE
23400000000,12,0,12-1-0,15060031.5319368243,2,,AVAILABLE
23500000000,12,0,12-1-0,15056553.3415124808,2,,AVAILABLE
23600000000,12,0,12-1-0,15053067.8829821758,2,,AVAILABLE
23700000000,12,0,12-1-0,15049590.4564880915,2,,AVAILABLE
23800000000,12,0,12-1-0,15046113.1349480711,2,,AVAILABLE
23900000000,12,0,12-1-0,15042634.9422078021,2,,AVAILABLE
24000000000,12,0,12-1-0,15039161.5816139113,2,,AVAILABLE
24100000000,12,0,12-1-0,15035688.3270038273,2,,AVAILABLE
24200000000,12,0,12-1-0,15032214.6188035887,2,,AVAILABLE
24300000000,12,0,12-1-0,15028744.2672727238,2,,AVAILABLE
24400000000,12,0,12-1-0,15025272.9929358270,2,,AVAILABLE
24500000000,12,0,12-1-0,15021805.8575712591,2,,AVAILABLE
24600000000,12,0,12-1-0,15018339.5198938157,2,,AVAILABLE
24700000000,12,0,12-1-0,15014872.7836311888,2,,AVAILABLE
24800000000,12,0,12-1-0,15011409.2962445226,2,,AVAILABLE
24900000000,12,0,12-1-0,15007944.9398402888,2,,AVAILABLE
25000000000,12,0,12-1-0,15004484.7740725540,2,,AVAILABLE
25100000000,12,0,12-1-0,15001025.7703017909,2,,AVAILABLE
25200000000,12,0,12-1-0,14997568.0398716461,2,,AVAILABLE
25300000000,12,0,12-1-0,14994109.3845940940,2,,AVAILABLE
25400000000,12,0,12-1-0,14990654.5030310098,2,,AVAILABLE
25500000000,12,0,12-1-0,14987204.3979773708,2,,AVAILABLE
25600000000,12,0,12-1-0,14983745.9696639795,2,,AVAILABLE
25700000000,12,0,12-1-0,14980296.2139633726,2,,AVAILABLE
25800000000,12,0,12-1-0,14976847.0334181879,2,,AVAILABLE
25900000000,12,0,12-1-0,14973396.2898003496,2,,AVAILABLE
26000000000,12,0,12-1-0,14969953.1014073379,2,,AVAILABLE
26100000000,12,0,12-1-0,14966508.4049620815,2,,AVAILABLE
26200000000,12,0,12-1-0,14963061.7265840042,2,,AVAILABLE
26300000000,12,0,12-1-0,14959623.0215720925,2,,AVAILABLE
26400000000,12,0,12-1-0,14956179.1934211645,2,,AVAILABLE
26500000000,12,0,12-1-0,14952740.1977404710,2,,AVAILABLE
26600000000,12,0,12-1-0,14949299.2200039383,2,,AVAILABLE
26700000000,12,0,12-1-0,14945866.2754161581,2,,AVAILABLE
26800000000,12,0,12-1-0,14942431.2878903877,2,,AVAILABLE
26900000000,12,0,12-1-0,14938997.9928560015,2,,AVAILABLE
27000000000,12,0,12-1-0,14935568.4121648930,2,,AVAILABLE
27100000000,12,0,12-1-0,14932134.7683690134,2,,AVAILABLE
27200000000,12,0,12-1-0,14928705.9571369030,2,,AVAILABLE
27300000000,12,0,12-1-0,14925281.5615730323,2,,AVAILABLE
27400000000,12,0,12-1-0,14921852.4035253935,2,,AVAILABLE
27500000000,12,0,12-1-0,14918430.1557942834,2,,AVAILABLE
27600000000,12,0,12-1-0,14915007.0449779332,2,,AVAILABLE
27700000000,12,0,12-1-0,14911581.9517631941,2,,AVAILABLE
27800000000,12,0,12-1-0,14908164.1869946513,2,,AVAILABLE
27900000000,12,0,12-1-0,14904742.4224264808,2,,AVAILABLE
28000000000,12,0,12-1-0,14901325.0120843053,2,,AVAILABLE
28100000000,12,0,12-1-0,14897911.7322573885,2,,AVAILABLE
28200000000,12,0,12-1-0,14894497.1718847658,2,,AVAILABLE
28300000000,12,0,12-1-0,14891086.7397388946,2,,AVAILABLE
28400000000,12,0,12-1-0,14887672.3099990394,2,,AVAILABLE
28500000000,12,0,12-1-0,14884268.3437284790,2,,AVAILABLE
28600000000,12,0,12-1-0,14880859.9003890362,2,,AVAILABLE
28700000000,12,0,12-1-0,14877448.8325027302,2,,AVAILABLE
28800000000,12,0,12-1-0,14874043.6580022089,2,,AVAILABLE
28900000000,12,0,12-1-0,14870645.3908601664,2,,AVAILABLE
29000000000,12,0,12-1-0,14867238.8062337637,2,,AVAILABLE
29100000000,12,0,12-1-0,14863841.3125982340,2,,AVAILABLE
29200000000,12,0,12-1-0,14860441.1942799836,2,,AVAILABLE
29300000000,12,0,12-1-0,14857045.4267259594,2,,AVAILABLE
29400000000,12,0,12-1-0,14853649.2823834904,2,,AVAILABLE
29500000000,12,0,12-1-0,14850253.5818509124,2,,AVAILABLE
29600000000,12,0,12-1-0,14846862.7814670689,2,,AVAILABLE
29700000000,12,0,12-1-0,14843469.9962742664,2,,AVAILABLE
29800000000,12,0,12-1-0,14840085.5941267349,2,,AVAILABLE
29900000000,12,0,12-1-0,14836693.5845432915,2,,AVAILABLE
30000000000,12,0,12-1-0,14833305.2826547734,2,,AVAILABLE
30100000000,12,0,12-1-0,14829925.3631825764,2,,AVAILABLE
30200000000,12,0,12-1-0,14826540.3278701026,2,,AVAILABLE
30300000000,12,0,12-1-0,14823156.9277579561,2,,AVAILABLE
30400000000,12,0,12-1-0,14819775.1591875460,2,,AVAILABLE
30500000000,12,0,12-1-0,14816397.7386050560,2,,AVAILABLE
30600000000,12,0,12-1-0,14813022.0192671008,2,,AVAILABLE
30700000000,12,0,12-1-0,14809647.9333141297,2,,AVAILABLE
30800000000,12,0,12-1-0,14806272.2809863817,2,,AVAILABLE
30900000000,12,0,12-1-0,14802898.2619805839,2,,AVAILABLE
31000000000,12,0,12-1-0,14799528.6609542053,2,,AVAILABLE
31100000000,12,0,12-1-0,14796157.4916327707,2,,AVAILABLE
31200000000,12,0,12-1-0,14792793.6435042638,2,,AVAILABLE
31300000000,12,0,12-1-0,14789425.7405583933,2,,AVAILABLE
31400000000,12,0,12-1-0,14786059.4708907176,2,,AVAILABLE
31500000000,12,0,12-1-0,14782697.6174407359,2,,AVAILABLE
