job_id,job_type,arrival_time_ns,scenario,algorithm,placement_status,selected_node,route,rtt_ns,network_time_ms,queue_wait_time_ms,compute_time_ms,start_time_ms,finish_time_ms,total_time_ms,deadline_ms,deadline_met,failed_isls
burst_job_013,image_inference,20648275862,NORMAL_BURST,completion_time,PLACED,0,12-1-0,15158099.459580583,15.158099459580583,0.0,950.0,20663.433961459577,21613.433961459577,965.1580994595788,1500.0,True,
burst_job_014,object_detection,22368965517,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16937701.788615257,16.937701788615257,0.0,1291.6666666666667,22385.903218788615,23677.569885455283,1308.6043684552824,4000.0,True,
burst_job_015,llm_inference,24089655172,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16899980.69618387,16.89998069618387,0.0,2833.3333333333335,24106.555152696183,26939.888486029515,2850.233314029516,10000.0,True,
burst_job_016,image_inference,25810344828,NORMAL_BURST,completion_time,PLACED,0,12-1-0,14976847.033418188,14.976847033418188,0.0,850.0,25825.321675033418,26675.321675033418,864.9768470334166,3000.0,True,
burst_job_017,object_detection,27531034483,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16824080.968678653,16.824080968678654,0.0,1208.3333333333335,27547.85856396868,28756.19189730201,1225.1574143020116,3000.0,True,
burst_job_018,llm_inference,29251724138,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16788089.817263898,16.7880898172639,0.0,2750.0,29268.512227817264,32018.512227817264,2766.7880898172625,8000.0,True,
burst_job_019,image_inference,30972413793,NORMAL_BURST,completion_time,PLACED,0,12-1-0,14802898.261980584,14.802898261980584,0.0,1000.0,30987.21669126198,31987.21669126198,1014.8028982619799,2500.0,True,
burst_job_020,object_detection,32693103448,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16717857.802676708,16.717857802676708,0.0,1333.3333333333335,32709.821305802678,34043.15463913601,1350.0511911360081,6000.0,True,
burst_job_021,llm_inference,34413793103,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16681639.517664554,16.681639517664554,0.0,2666.666666666667,34430.47474251767,37097.14140918433,2683.348306184329,6000.0,True,
burst_job_022,image_inference,36134482759,NORMAL_BURST,completion_time,PLACED,0,12-1-0,14629780.327834079,14.629780327834078,0.0,900.0,36149.112539327834,37049.112539327834,914.6297803278358,2000.0,True,
burst_job_023,object_detection,37855172414,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16615083.253955422,16.615083253955422,0.0,1250.0,37871.78749725396,39121.78749725396,1266.615083253957,5000.0,True,
burst_job_024,llm_inference,39575862069,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16582732.452484025,16.582732452484024,0.0,2791.666666666667,39592.44480145249,42384.111468119154,2808.2493991191513,12000.0,True,
burst_job_025,image_inference,41296551724,NORMAL_BURST,completion_time,PLACED,0,12-1-0,14464524.95051924,14.46452495051924,0.0,1050.0,41311.01624895052,42361.01624895052,1064.4645249505193,1500.0,True,
burst_job_026,object_detection,43017241379,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16518111.604304435,16.518111604304433,0.0,1166.6666666666667,43033.7594906043,44200.426157270966,1183.1847782709665,4000.0,True,
burst_job_027,llm_inference,44737931034,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16487706.268293194,16.487706268293195,0.0,2708.3333333333335,44754.418740268295,47462.75207360163,2724.8210396016293,10000.0,True,
burst_job_028,image_inference,46458620690,NORMAL_BURST,completion_time,PLACED,0,12-1-0,14301056.664515888,14.301056664515889,0.0,950.0,46472.92174666452,47422.92174666452,964.3010566645171,3000.0,True,
burst_job_029,object_detection,48179310345,NORMAL_BURST,completion_time,PLACED,3,12-4-3,16428856.137140147,16.428856137140148,0.0,1291.6666666666667,48195.73920113714,49487.405867803805,1308.0955228038074,3000.0,True,
