finding_id,scenario,workload,policy,metric,finding_type,baseline_value,compared_value,absolute_change,relative_change_percent,statement
F0034,multi,burst,completion_time,jobs_unplaced,absolute_change_zero_baseline,0.0,11.0,11.0,,"다중 장애 조건에서 completion_time 정책의 평균 미배치 작업 수은(는) 정상 대비 절대 변화 +11, 상대 변화 계산 불가(정상 기준 0) 변화했습니다."
F0035,multi,burst,completion_time,deadline_met_ratio,percentage_point_change,0.13333333333333333,0.08650519031141868,-0.04682814302191465,,다중 장애 조건에서 completion_time 정책의 마감 준수율은(는) 정상 대비 -4.68%p 변화했습니다.
F0036,multi,burst,completion_time,average_queue_wait_seconds,percentage_change,22.4237941851374,55.291746056080534,32.86795187094313,146.57622880220765,다중 장애 조건에서 completion_time 정책의 평균 큐 대기시간은(는) 정상 대비 +146.58% 변화했습니다.
F0037,multi,burst,completion_time,p95_queue_wait_seconds,percentage_change,44.3945354799648,104.08980040708522,59.69526492712042,134.46534417295754,다중 장애 조건에서 completion_time 정책의 P95 큐 대기시간은(는) 정상 대비 +134.47% 변화했습니다.
F0038,multi,burst,completion_time,average_total_time_seconds,percentage_change,24.280593675579322,57.050549338072116,32.76995566249279,134.96356843799833,다중 장애 조건에서 completion_time 정책의 평균 총 시간은(는) 정상 대비 +134.96% 변화했습니다.
F0039,multi,burst,completion_time,p95_total_time_seconds,percentage_change,46.12932981369982,105.94254820536644,59.81321839166662,129.66418249133733,다중 장애 조건에서 completion_time 정책의 P95 총 시간은(는) 정상 대비 +129.66% 변화했습니다.
F0040,multi,burst,completion_time,node_load_imbalance_ratio,percentage_change,0.20016659728003233,0.7346241604902739,0.5344575632102415,267.0063689310446,다중 장애 조건에서 completion_time 정책의 노드 부하 불균형은(는) 정상 대비 +267.01% 변화했습니다.
F0041,multi,burst,compute_aware,placement_success_ratio,percentage_point_change,1.0,0.9633333333333333,-0.036666666666666736,,다중 장애 조건에서 compute_aware 정책의 배치 성공률은(는) 정상 대비 -3.67%p 변화했습니다.
F0042,multi,burst,compute_aware,jobs_unplaced,absolute_change_zero_baseline,0.0,11.0,11.0,,"다중 장애 조건에서 compute_aware 정책의 평균 미배치 작업 수은(는) 정상 대비 절대 변화 +11, 상대 변화 계산 불가(정상 기준 0) 변화했습니다."
F0043,multi,burst,compute_aware,deadline_met_ratio,percentage_point_change,0.11666666666666667,0.11418685121107267,-0.0024798154555940033,,다중 장애 조건에서 compute_aware 정책의 마감 준수율은(는) 정상 대비 -0.25%p 변화했습니다.
F0044,multi,burst,compute_aware,average_queue_wait_seconds,percentage_change,54.645296987974824,120.01432009380976,65.36902310583494,119.62424345542485,다중 장애 조건에서 compute_aware 정책의 평균 큐 대기시간은(는) 정상 대비 +119.62% 변화했습니다.
F0045,multi,burst,compute_aware,p95_queue_wait_seconds,percentage_change,133.7101372081369,266.5497268153152,132.83958960717828,99.34892924415783,다중 장애 조건에서 compute_aware 정책의 P95 큐 대기시간은(는) 정상 대비 +99.35% 변화했습니다.
F0046,multi,burst,compute_aware,average_total_time_seconds,percentage_change,56.429826720824394,121.66372454417368,65.23389782334928,115.60180424809971,다중 장애 조건에서 compute_aware 정책의 평균 총 시간은(는) 정상 대비 +115.60% 변화했습니다.
F0047,multi,burst,compute_aware,p95_total_time_seconds,percentage_change,134.67307262692253,267.7741090596995,133.101036432777,98.83270191770224,다중 장애 조건에서 compute_aware 정책의 P95 총 시간은(는) 정상 대비 +98.83% 변화했습니다.
F0048,multi,burst,compute_aware,node_load_imbalance_ratio,percentage_change,0.7094129028053173,1.2076174140547262,0.4982045112494089,70.22772059533996,다중 장애 조건에서 compute_aware 정책의 노드 부하 불균형은(는) 정상 대비 +70.23% 변화했습니다.
